Date,Open,High,Low,Close,Adj Close,Volume
2011-12-09,1.33125,1.3325,1.30375,1.31875,0.507356,2121600.0
2011-12-12,1.31875,1.31875,1.29375,1.31,0.503989,1792000.0
2011-12-13,1.31,1.31,1.27875,1.3,0.500142,2447200.0
2011-12-14,1.2825,1.28625,1.24375,1.24375,0.478501,5964800.0
2011-12-15,1.25625,1.27875,1.245,1.2625,0.48571499999999995,5258400.0
2011-12-16,1.2625,1.3125,1.26125,1.3125,0.504951,2765600.0
2011-12-19,1.31875,1.3275,1.26125,1.26875,0.48812,6236000.0
2011-12-20,1.27375,1.29875,1.255,1.29875,0.49966099999999997,4817600.0
2011-12-21,1.285,1.285,1.225,1.225,0.471288,4864000.0
2011-12-22,1.245,1.245,1.12875,1.13125,0.43522,13702400.0
2011-12-23,1.14375,1.175,1.115,1.1625,0.447243,8361600.0
2011-12-26,1.165,1.18625,1.16125,1.17625,0.452533,2283200.0
2011-12-27,1.18125,1.18625,1.15125,1.1575,0.44531899999999996,2156000.0
2011-12-28,1.1575,1.16125,1.12375,1.1575,0.44531899999999996,4520000.0
2011-12-29,1.1625,1.1925,1.135,1.1925,0.458784,3620800.0
2012-01-02,1.18625,1.18625,1.1625,1.1625,0.447243,2170400.0
2012-01-03,1.175,1.18125,1.155,1.155,0.44435699999999995,5846400.0
2012-01-04,1.15875,1.15875,1.1325,1.14375,0.440029,4752000.0
2012-01-05,1.145,1.145,1.13125,1.13375,0.43618199999999996,1756000.0
2012-01-06,1.135,1.165,1.11875,1.165,0.448204,4821600.0
2012-01-09,1.16375,1.16375,1.13375,1.15375,0.44387600000000005,3400000.0
2012-01-10,1.15375,1.1725,1.1375,1.1375,0.43762399999999996,4112800.0
2012-01-11,1.14875,1.15875,1.1375,1.15625,0.444838,4428800.0
2012-01-12,1.16125,1.16875,1.15625,1.16875,0.449647,7919200.0
2012-01-13,1.1675,1.1825,1.14375,1.1825,0.454937,4729600.0
2012-01-16,1.1825,1.1825,1.1825,1.1825,0.454937,0.0
2012-01-17,1.2,1.205,1.19,1.20375,0.46311199999999997,4594400.0
2012-01-18,1.20375,1.2075,1.19,1.2,0.46166999999999997,9408800.0
2012-01-19,1.2,1.2125,1.1875,1.20875,0.46503599999999995,3626400.0
2012-01-20,1.20125,1.2175,1.2,1.21625,0.46792100000000003,5860800.0
2012-01-23,1.21875,1.2225,1.20875,1.21875,0.468883,3072800.0
2012-01-24,1.2175,1.2175,1.2,1.2,0.46166999999999997,2473600.0
2012-01-26,1.2075,1.2625,1.2075,1.2625,0.48571499999999995,13584000.0
2012-01-27,1.26375,1.31,1.26375,1.2925,0.49725699999999995,7810400.0
2012-01-30,1.27125,1.2775,1.23875,1.25,0.48090600000000006,7180800.0
2012-01-31,1.26,1.27,1.24625,1.2525,0.481868,5528000.0
2012-02-01,1.27,1.3,1.265,1.2875,0.49533299999999997,6925600.0
2012-02-02,1.3025,1.325,1.29875,1.3125,0.504951,5283200.0
2012-02-03,1.3225,1.3625,1.21,1.2725,0.489562,39340000.0
2012-02-06,1.2775,1.2775,1.21125,1.21875,0.468883,17932800.0
2012-02-07,1.21875,1.245,1.21375,1.24125,0.47753999999999996,8970400.0
2012-02-08,1.24375,1.25625,1.2325,1.23375,0.474654,5325600.0
2012-02-09,1.2375,1.24125,1.2125,1.2375,0.47609700000000005,12284000.0
2012-02-10,1.22375,1.265,1.19375,1.24875,0.480425,8776800.0
2012-02-13,1.24875,1.24875,1.24875,1.24875,0.480425,0.0
2012-02-14,1.2425,1.2575,1.2325,1.23625,0.475616,6760800.0
2012-02-15,1.2375,1.28625,1.2375,1.275,0.49052399999999996,8322400.0
2012-02-16,1.27125,1.28125,1.2575,1.2575,0.48379099999999997,5928000.0
2012-02-17,1.275,1.28125,1.26,1.275,0.49052399999999996,7252800.0
2012-02-23,1.31875,1.39875,1.30375,1.39375,0.5362100000000001,16315200.0
2012-02-24,1.4,1.5075,1.4,1.4625,0.56266,25958400.0
2012-02-27,1.45,1.4775,1.4,1.46875,0.565064,7408000.0
2012-02-28,1.46875,1.47125,1.43875,1.46625,0.564103,4336800.0
2012-02-29,1.4625,1.485,1.45,1.48125,0.569873,4057600.0
2012-03-01,1.475,1.49,1.4625,1.47125,0.566026,3006400.0
2012-03-02,1.4875,1.51875,1.47625,1.49625,0.5756439999999999,4960000.0
2012-03-05,1.4875,1.50125,1.4425,1.475,0.567469,3243200.0
2012-03-06,1.44875,1.46125,1.39,1.45625,0.5602550000000001,3610400.0
2012-03-07,1.44125,1.5,1.44125,1.4975,0.576125,7727200.0
2012-03-08,1.53125,1.59875,1.53125,1.575,0.605942,16608800.0
2012-03-09,1.575,1.6075,1.53625,1.54,0.592476,9823200.0
2012-03-12,1.54,1.54625,1.50125,1.50625,0.579492,5822400.0
2012-03-13,1.525,1.545,1.50625,1.50625,0.579492,7000800.0
2012-03-14,1.51375,1.5225,1.45375,1.4875,0.572278,6692800.0
2012-03-15,1.46875,1.5,1.45125,1.45625,0.5602550000000001,2205600.0
2012-03-16,1.45625,1.49125,1.4375,1.4375,0.553042,3340000.0
2012-03-19,1.4375,1.4375,1.4375,1.4375,0.553042,0.0
2012-03-20,1.4325,1.4575,1.40875,1.45,0.557851,2366400.0
2012-03-21,1.45,1.45625,1.43875,1.4475,0.5568890000000001,3747200.0
2012-03-22,1.45,1.45625,1.43875,1.4475,0.5568890000000001,3747200.0
2012-03-23,1.42375,1.49875,1.39625,1.4925,0.574202,21008800.0
2012-03-26,1.49875,1.535,1.4975,1.52625,0.587186,5691200.0
2012-03-27,1.5275,1.56625,1.485,1.4875,0.572278,6577600.0
2012-03-28,1.49,1.49875,1.435,1.46,0.5616979999999999,5600800.0
2012-03-29,1.45875,1.46,1.41,1.4525,0.558813,6555200.0
2012-03-30,1.465,1.5125,1.44125,1.495,0.575164,4368000.0
2012-04-02,1.515,1.575,1.4875,1.5425,0.593438,6324000.0
2012-04-03,1.5375,1.5625,1.5025,1.55,0.5963229999999999,4120800.0
2012-04-04,1.515,1.57125,1.515,1.54375,0.593919,2072800.0
2012-04-05,1.5375,1.56,1.5025,1.5025,0.5780489999999999,2584800.0
2012-04-09,1.50375,1.50375,1.44875,1.4575,0.560736,4020000.0
2012-04-10,1.4825,1.4825,1.42,1.47375,0.566988,2696800.0
2012-04-11,1.49875,1.49875,1.4375,1.44875,0.55737,2777600.0
2012-04-12,1.45625,1.52125,1.45625,1.51875,0.5843010000000001,2341600.0
2012-04-13,1.5175,1.5575,1.48875,1.53375,0.590072,1723200.0
2012-04-16,1.55875,1.5625,1.5325,1.5625,0.601132,4560000.0
2012-04-17,1.56875,1.59375,1.5525,1.575,0.605942,3533600.0
2012-04-18,1.56875,1.56875,1.5075,1.565,0.6020939999999999,4106400.0
2012-04-19,1.56875,1.60125,1.525,1.54,0.592476,4540800.0
2012-04-20,1.54125,1.55625,1.4775,1.49125,0.573721,3257600.0
2012-04-23,1.48125,1.48125,1.42,1.4375,0.553042,4722400.0
2012-04-24,1.4375,1.45,1.42125,1.4225,0.547271,2822400.0
2012-04-25,1.4325,1.465,1.37625,1.425,0.548233,3893600.0
2012-04-26,1.425,1.425,1.36375,1.375,0.528996,4248000.0
2012-04-27,1.37875,1.41875,1.3675,1.41875,0.545828,3284000.0
2012-04-30,1.4175,1.4425,1.4,1.4225,0.547271,2381600.0
2012-05-02,1.4175,1.4425,1.4,1.4225,0.5530470000000001,2381600.0
2012-05-03,1.46125,1.51875,1.46,1.50875,0.58658,4317600.0
2012-05-04,1.51375,1.5625,1.48875,1.52375,0.5924119999999999,5523200.0
2012-05-07,1.48875,1.57125,1.48875,1.5625,0.607477,3600000.0
2012-05-08,1.52625,1.54875,1.50375,1.5375,0.597758,1297600.0
2012-05-09,1.5225,1.56,1.49625,1.55625,0.605047,2964000.0
2012-05-10,1.56125,1.5625,1.53375,1.54375,0.600187,1162400.0
2012-05-11,1.55125,1.55125,1.4825,1.50375,0.5846359999999999,2684000.0
2012-05-14,1.4875,1.4875,1.415,1.425,0.5540189999999999,4381600.0
2012-05-15,1.4125,1.4125,1.2525,1.28125,0.49813100000000005,11539200.0
2012-05-16,1.28125,1.28125,1.28125,1.28125,0.49813100000000005,0.0
2012-05-17,1.24,1.27,1.2075,1.2075,0.469458,2204000.0
2012-05-18,1.225,1.2325,1.11,1.12375,0.43689799999999995,10579200.0
2012-05-21,1.12375,1.12375,1.12375,1.12375,0.43689799999999995,0.0
2012-05-22,1.15,1.18125,1.12875,1.13125,0.439813,7276000.0
2012-05-23,1.125,1.145,1.075,1.14375,0.44467299999999993,4623200.0
2012-05-24,1.1525,1.15375,1.07,1.0875,0.422804,3818400.0
2012-05-25,1.0775,1.1575,1.0775,1.1475,0.44613100000000006,5344800.0
2012-05-28,1.1475,1.2125,1.1475,1.21,0.47043,5242400.0
2012-05-29,1.19375,1.23375,1.17625,1.20625,0.468972,2533600.0
2012-05-30,1.18,1.20375,1.155,1.18,0.458767,2408800.0
2012-05-31,1.1625,1.19875,1.13625,1.16625,0.453421,4571200.0
2012-06-01,1.1425,1.15625,1.1125,1.125,0.437384,2245600.0
2012-06-04,1.13125,1.15375,1.12,1.12,0.43543999999999994,2826400.0
2012-06-05,1.1375,1.14375,1.1025,1.1125,0.43252399999999996,4338400.0
2012-06-06,1.11625,1.1525,1.11625,1.1375,0.44224300000000005,2270400.0
2012-06-08,1.13125,1.15375,1.12625,1.1425,0.444187,1738400.0
2012-06-11,1.15625,1.17875,1.1475,1.17875,0.45828100000000005,5231200.0
2012-06-12,1.1775,1.22875,1.17625,1.22875,0.47772,1988000.0
2012-06-13,1.2275,1.2775,1.21,1.2275,0.477234,2081600.0
2012-06-14,1.21875,1.24875,1.21875,1.2375,0.48112200000000005,1252000.0
2012-06-15,1.25125,1.25625,1.215,1.25625,0.488412,1920000.0
2012-06-18,1.25625,1.25625,1.25625,1.25625,0.488412,0.0
2012-06-19,1.2625,1.2775,1.24375,1.2775,0.496673,1847200.0
2012-06-20,1.27875,1.28125,1.22625,1.24875,0.485496,2226400.0
2012-06-21,1.23625,1.24,1.20125,1.2025,0.46751400000000004,789600.0
2012-06-22,1.235,1.2625,1.19375,1.2025,0.46751400000000004,2820800.0
2012-06-25,1.19875,1.21875,1.1625,1.19375,0.46411199999999997,2723200.0
2012-06-26,1.2075,1.21875,1.15,1.15,0.447103,3644000.0
2012-06-27,1.1625,1.1875,1.1125,1.1125,0.43252399999999996,2328800.0
2012-06-28,1.11875,1.12875,1.09125,1.1125,0.43252399999999996,3381600.0
2012-06-29,1.145,1.18125,1.1375,1.175,0.456823,2820800.0
2012-07-02,1.18125,1.18625,1.15625,1.17125,0.45536499999999996,1455200.0
2012-07-03,1.1575,1.21375,1.14375,1.20625,0.468972,2724000.0
2012-07-04,1.2,1.21875,1.185,1.2125,0.47140200000000004,864800.0
2012-07-05,1.20125,1.2175,1.18,1.19375,0.46411199999999997,1565600.0
2012-07-06,1.175,1.2075,1.16875,1.2,0.466542,1721600.0
2012-07-10,1.1975,1.21375,1.16875,1.175,0.456823,966400.0
2012-07-11,1.17125,1.175,1.11375,1.135,0.441271,1493600.0
2012-07-12,1.125,1.15375,1.1075,1.1525,0.448075,1097600.0
2012-07-13,1.15125,1.18,1.15,1.17625,0.457309,1148000.0
2012-07-16,1.17625,1.17625,1.17625,1.17625,0.457309,0.0
2012-07-17,1.14375,1.1575,1.12625,1.145,0.445159,2384800.0
2012-07-18,1.145,1.1725,1.1425,1.16875,0.45439300000000005,992000.0
2012-07-19,1.17,1.225,1.1625,1.21625,0.47286000000000006,9841600.0
2012-07-20,1.21125,1.225,1.19375,1.2175,0.473346,1370400.0
2012-07-23,1.1875,1.21125,1.16,1.20625,0.468972,1675200.0
2012-07-24,1.1925,1.19375,1.14125,1.155,0.44904700000000003,1570400.0
2012-07-25,1.15875,1.16875,1.11875,1.15,0.447103,1738400.0
2012-07-26,1.16375,1.21125,1.14375,1.205,0.46848599999999996,2078400.0
2012-07-27,1.20625,1.25875,1.19125,1.24375,0.48355200000000004,2916000.0
2012-07-30,1.24875,1.28125,1.23625,1.26125,0.490356,1462400.0
2012-07-31,1.26125,1.2975,1.25375,1.28125,0.49813100000000005,1780000.0
2012-08-01,1.28,1.33375,1.25125,1.315,0.511253,3203200.0
2012-08-02,1.3125,1.3125,1.2925,1.3075,0.508337,2424800.0
2012-08-03,1.28875,1.335,1.28875,1.33,0.517084,1927200.0
2012-08-06,1.32625,1.4,1.315,1.39375,0.54187,5728800.0
2012-08-07,1.39,1.43125,1.35,1.35375,0.5263180000000001,4310400.0
2012-08-08,1.35375,1.35375,1.35375,1.35375,0.5263180000000001,0.0
2012-08-09,1.32875,1.3525,1.29125,1.3475,0.523888,3124000.0
2012-08-10,1.32875,1.3525,1.29125,1.3475,0.523888,3124000.0
2012-08-13,1.34375,1.34375,1.3,1.3125,0.510281,1115200.0
2012-08-14,1.35125,1.39875,1.3525,1.395,0.542355,7850400.0
2012-08-15,1.38,1.38125,1.365,1.37375,0.534094,1521600.0
2012-08-16,1.37625,1.39375,1.34375,1.36875,0.53215,6295200.0
2012-08-17,1.36625,1.38625,1.36,1.38625,0.538954,2819200.0
2012-08-20,1.37375,1.39,1.345,1.375,0.53458,1544800.0
2012-08-21,1.37,1.38375,1.3475,1.3525,0.525832,1927200.0
2012-08-22,1.3525,1.38125,1.33875,1.34625,0.523402,2335200.0
2012-08-23,1.3525,1.3725,1.3325,1.3475,0.523888,1611200.0
2012-08-24,1.3475,1.4,1.3475,1.3875,0.5394399999999999,4513600.0
2012-08-27,1.3875,1.4575,1.3875,1.44375,0.5613090000000001,5458400.0
2012-08-28,1.44875,1.46875,1.44375,1.4625,0.568599,1582400.0
2012-08-29,1.4625,1.4675,1.3625,1.39375,0.54187,3825600.0
2012-08-30,1.395,1.395,1.35125,1.36875,0.53215,1760000.0
2012-08-31,1.39,1.41875,1.3575,1.4125,0.5491590000000001,4215200.0
2012-09-03,1.4125,1.42,1.3575,1.4125,0.5491590000000001,4095200.0
2012-09-04,1.4125,1.445,1.39875,1.44,0.559851,2441600.0
2012-09-05,1.4375,1.4825,1.3575,1.45125,0.564225,2596000.0
2012-09-06,1.44375,1.54625,1.44375,1.5325,0.5958140000000001,6724800.0
2012-09-10,1.53625,1.56875,1.515,1.5625,0.607477,6563200.0
2012-09-11,1.56875,1.61125,1.55,1.58125,0.614767,2525600.0
2012-09-12,1.59875,1.61875,1.55,1.605,0.624,7438400.0
2012-09-13,1.605,1.64875,1.5825,1.6475,0.640524,6860800.0
2012-09-14,1.62375,1.65625,1.5825,1.6075,0.624972,3477600.0
2012-09-17,1.6125,1.65,1.57,1.645,0.639552,1846400.0
2012-09-18,1.615,1.61875,1.6,1.60125,0.6225430000000001,5170400.0
2012-09-19,1.625,1.625,1.58625,1.61625,0.628374,1839200.0
2012-09-20,1.6125,1.64875,1.58625,1.625,0.631776,5891200.0
2012-09-21,1.63125,1.655,1.61,1.63125,0.634206,2396000.0
2012-09-24,1.615,1.64375,1.60125,1.625,0.631776,2055200.0
2012-09-25,1.64375,1.6475,1.61125,1.64,0.637608,1982400.0
2012-09-26,1.6425,1.6425,1.51625,1.59375,0.619627,6091200.0
2012-09-27,1.59375,1.595,1.5275,1.5725,0.6113649999999999,2251200.0
2012-09-28,1.59625,1.59625,1.50375,1.53,0.594842,4111200.0
2012-10-01,1.5175,1.56,1.50625,1.525,0.5928979999999999,2240800.0
2012-10-02,1.515,1.52875,1.4625,1.50125,0.5836640000000001,4932800.0
2012-10-03,1.5,1.5,1.46375,1.47625,0.573944,2842400.0
2012-10-04,1.49,1.575,1.4825,1.5625,0.607477,4820000.0
